start_time,end_time,start_time_iso,end_time_iso
1758067200,1758153600,2025-09-17T00:00:00+00:00,2025-09-18T00:00:00+00:00
1758153600,1758240000,2025-09-18T00:00:00+00:00,2025-09-19T00:00:00+00:00
1758240000,1758326400,2025-09-19T00:00:00+00:00,2025-09-20T00:00:00+00:00
1758326400,1758412800,2025-09-20T00:00:00+00:00,2025-09-21T00:00:00+00:00
1758412800,1758499200,2025-09-21T00:00:00+00:00,2025-09-22T00:00:00+00:00
1758499200,1758585600,2025-09-22T00:00:00+00:00,2025-09-23T00:00:00+00:00
1758585600,1758672000,2025-09-23T00:00:00+00:00,2025-09-24T00:00:00+00:00
1758672000,1758758400,2025-09-24T00:00:00+00:00,2025-09-25T00:00:00+00:00
1758758400,1758844800,2025-09-25T00:00:00+00:00,2025-09-26T00:00:00+00:00
1758844800,1758931200,2025-09-26T00:00:00+00:00,2025-09-27T00:00:00+00:00
1758931200,1759017600,2025-09-27T00:00:00+00:00,2025-09-28T00:00:00+00:00
1759017600,1759104000,2025-09-28T00:00:00+00:00,2025-09-29T00:00:00+00:00
1759104000,1759190400,2025-09-29T00:00:00+00:00,2025-09-30T00:00:00+00:00
1759190400,1759276800,2025-09-30T00:00:00+00:00,2025-10-01T00:00:00+00:00
1759276800,1759363200,2025-10-01T00:00:00+00:00,2025-10-02T00:00:00+00:00
1759363200,1759449600,2025-10-02T00:00:00+00:00,2025-10-03T00:00:00+00:00
1759449600,1759536000,2025-10-03T00:00:00+00:00,2025-10-04T00:00:00+00:00
1759536000,1759622400,2025-10-04T00:00:00+00:00,2025-10-05T00:00:00+00:00
1759622400,1759708800,2025-10-05T00:00:00+00:00,2025-10-06T00:00:00+00:00
1759708800,1759795200,2025-10-06T00:00:00+00:00,2025-10-07T00:00:00+00:00
1759795200,1759881600,2025-10-07T00:00:00+00:00,2025-10-08T00:00:00+00:00
1759881600,1759968000,2025-10-08T00:00:00+00:00,2025-10-09T00:00:00+00:00
1759968000,1760054400,2025-10-09T00:00:00+00:00,2025-10-10T00:00:00+00:00
1760054400,1760140800,2025-10-10T00:00:00+00:00,2025-10-11T00:00:00+00:00
1760140800,1760227200,2025-10-11T00:00:00+00:00,2025-10-12T00:00:00+00:00
1760227200,1760313600,2025-10-12T00:00:00+00:00,2025-10-13T00:00:00+00:00
1760313600,1760400000,2025-10-13T00:00:00+00:00,2025-10-14T00:00:00+00:00
1760400000,1760486400,2025-10-14T00:00:00+00:00,2025-10-15T00:00:00+00:00
1760486400,1760572800,2025-10-15T00:00:00+00:00,2025-10-16T00:00:00+00:00
1760572800,1760659200,2025-10-16T00:00:00+00:00,2025-10-17T00:00:00+00:00
1760659200,1760745600,2025-10-17T00:00:00+00:00,2025-10-18T00:00:00+00:00
